file_name,time,ent_count,sims_count,repetition
Solingen_ Wurde Todesmutter Christiane K. von ihrem Vater missbraucht_ _ Regional _ BILD.de.pdf,9.237062600000058,17,116,3
Stadtbibliothek München_ OB Reiters Machtwort gegen das Sitzverbot! _ Regional _ BILD.de.pdf,6.576324200000045,16,66,3
Stadtbibliothek Sendling_ Sitz-Verbots-PCs sind plötzlich kaputt! _ Regional _ BILD.de.pdf,2.9744152000000668,8,8,3
Wegen anzügliche Kommentare_ 23-Jähriger sticht Mann (40) nieder _ Regional _ BILD.de.pdf,2.7328370000000177,6,8,3
"Wegen Drogen, Waffen und Nötigung_ Rocker-Trio in Bochum vor Gericht _ Regional _ BILD.de.pdf",5.392405000000053,10,56,3
Weil er mit Drogen handelte_ Knast für Ex-Club-Vize _ Regional _ BILD.de.pdf,4.213240600000063,9,42,3
400 Fälle vor Ulmer Gericht_ 45-Jähriger gesteht sexuellen Missbrauch _ Regional _ BILD.de.pdf,2.099870600000031,3,0,4
Aachen_ Arbeiter (37) erstach Bekannten (45) auf einem Feldweg _ Regional _ BILD.de.pdf,3.310094100000015,9,12,4
Al-Zein-Clan_ Sohn nach Razzia in Leverkusen wieder auf freiem Fuß _ Regional _ BILD.de.pdf,8.321986700000025,20,90,4
Berlin-Prozess_ Nachbar mit Hammer erschlagen und Leiche zerteilt – Angeklagter gesteht _ Regional _ BILD.de.pdf,3.4679438000000573,7,8,4
Berlin_ Trotz Knast-Urteil – Richter entlässt gefährlichen Dauer-Raser aus U-Haft _ Regional _ BILD.de.pdf,19.824415600000066,21,222,4
Betrug mit Polizisten-Trick_ Bankerin rettet für Seniorin 12.000 Euro _ Regional _ BILD.de.pdf,2.2482252000000926,3,0,4
Blutbad bei Lauben-Einbruch_ Klein-Ganove prügelt Polizistin fast tot _ Regional _ BILD.de.pdf,3.000538199999937,7,8,4
Dealer waren bewaffnet_ Kripo sprengt Rauschgift-Ring _ Regional _ BILD.de.pdf,2.607749099999978,7,8,4
"Der Nächste, bitte! Ex-Bürgermeister aus Homburg muss vor Gericht _ Regional _ BILD.de.pdf",3.267672800000014,8,20,4
Dresden_ Mann niedergestochen_ 20-Jähriger wegen versuchten Mordes angeklagt _ Regional _ BILD.de.pdf,4.062108599999988,6,12,4
Düsseldorf_ Versuchter Totschlag! Angeklagter vom SEK zum Prozess gebracht _ Regional _ BILD.de.pdf,6.956675000000018,16,60,4
Er tötete drei Frauen_ Messerstecher von Würzburg kommt in die Psychiatrie _ Regional _ BILD.de.pdf,3.132982800000036,9,22,4
Essen_ Oberarzt soll Corona-Kranken totgespritzt haben - Anwalt bestreitet _ Regional _ BILD.de.pdf,12.729065999999989,18,108,4
Flüchtling vor Gericht_ Prozess um Mord an obdachloser Frau _ Regional _ BILD.de.pdf,5.686290500000041,12,48,4
Freibad Steinrausch_ Lebloser Junge (5) aus Schwimmbecken gerettet _ Regional _ BILD.de.pdf,7.8573801,8,8,4
